table_id,geography,category,item,sex,age_group,metric_type,value,source_file
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with no 12-month symptoms,Females,,proportion,15.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Lifetime Anxiety disorder with no 12-month symptoms,Persons,,proportion,12.1,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Total lifetime Anxiety disorder,Males,,proportion,22.3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Total lifetime Anxiety disorder,Females,,proportion,32.6,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),Total lifetime Anxiety disorder,Persons,,proportion,27.5,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),No lifetime Anxiety disorder,Males,,proportion,77.6,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),No lifetime Anxiety disorder,Females,,proportion,67.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Anxiety disorders(e),No lifetime Anxiety disorder,Persons,,proportion,72.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with 12-month symptoms,Males,,proportion,6.7,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with 12-month symptoms,Females,,proportion,6.7,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with 12-month symptoms,Persons,,proportion,6.6,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with no 12-month symptoms,Males,,proportion,6.7,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with no 12-month symptoms,Females,,proportion,11.9,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Lifetime Affective disorder with no 12-month symptoms,Persons,,proportion,9.3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Total lifetime Affective disorder,Males,,proportion,13.3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Total lifetime Affective disorder,Females,,proportion,18.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),Total lifetime Affective disorder,Persons,,proportion,16,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),No lifetime Affective disorder,Males,,proportion,86.4,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),No lifetime Affective disorder,Females,,proportion,81.5,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Affective disorders(f),No lifetime Affective disorder,Persons,,proportion,84,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Lifetime Substance Use disorder with 12-month symptoms,Males,,proportion,3.9,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Lifetime Substance Use disorder with 12-month symptoms,Females,,proportion,2.2,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Lifetime Substance Use disorder with 12-month symptoms,Persons,,proportion,3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Lifetime Substance Use disorder with no 12-month symptoms,Males,,proportion,19.3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Lifetime Substance Use disorder with no 12-month symptoms,Females,,proportion,8.6,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Lifetime Substance Use disorder with no 12-month symptoms,Persons,,proportion,13.9,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Total lifetime Substance Use disorder,Males,,proportion,23.3,New South Wales - Lifetime and 12-month disorders.xlsx
New South Wales - Lifetime and 12-month disorders_T1,New South Wales,Substance Use disorders(g),Total lifetime Substance Use disorder,Females,,proportion,10.9,New South Wales - Lifetime and 12-month disorders.xlsx
